,obm_id,location_start,survey_station_code,species,total_no,juvenile,adult,water_type
1364,432,Balta excavare apa mica,MU18017,0,0,0,0,lake
1369,431,Ma04 Decantor,MU18019,0,0,0,0,canal
1325,412,Patak 4b NH,MU18002,0,0,0,0,river
1324,413,Patak4a T,MU18001,0,0,0,0,river
1330,419,Patak5b T,MU18007,0,0,0,0,river
1328,421,Patak6a T,MU18005,0,0,0,0,river
1329,420,Patak6b T,MU18006,0,0,0,0,river
543,1027,korispatak2,MU14009,Abramis brama,180,20,160,river
3382,2542,Kraszna Borvely felett T,SO18003,Abramis brama,6,2,4,river
3410,2535,Kraszna Kiralydaroc T,SO18006,Abramis brama,1,0,1,river
3396,2509,Kraszna Perecsen T,SO18005,Abramis brama,4,0,4,river
2144,2467,MAR24KUT,MU19022,Abramis brama,1,0,1,river
2848,1717,Olt 1 legalso T,OL18006,Abramis brama,0,0,0,river
4344,3353,T20 2019 T,TI19002,Abramis brama,2,0,2,river
3803,3557,Tur Harmashatar T,TI20001,Abramis brama,4,0,4,river
3165,4236,Sajo Sajoudvarhely mellett 2010,SO10001,Ballerus sapa,1,NA,1,river
3753,1653,Bega 3 T,TB18001,Abramis sp.,1,1,0,river
2753,176,Olt Scoreiu 1T/Olt Scoreiu legalso T,OL17004,Abramis sp.,245,245,0,river
1317,189,   Nagy Kukullo Galambf2T,MU17017,Alburnoides bipunctatus,171,14,157,river
4383,3293,1 Bef 4T 2019,TI19004,Alburnoides bipunctatus,120,16,104,river
4297,3232,1Bef10T nehezf,TI18008,Alburnoides bipunctatus,95,39,56,river
589,1273,Also Nyarad2,MU14016,Alburnoides bipunctatus,55,10,45,river
596,1284,Also Nyarad3,MU14017,Alburnoides bipunctatus,110,10,100,river
617,1115,Also Nyarad4,MU14018,Alburnoides bipunctatus,60,10,50,river
2992,4334,AM Sinca Veche T,OL21007,Alburnoides bipunctatus,27,3,24,river
1691,454,Aranyos2T,MU18052,Alburnoides bipunctatus,10,1,9,river
1533,554,Aries monit am balastiera,MU18035,Alburnoides bipunctatus,38,6,32,river
1548,540,Aries Monit av balastiera,MU18036,Alburnoides bipunctatus,24,11,13,river
1521,564,Aries monitorizare am Luncani,MU18034,Alburnoides bipunctatus,35,17,18,river
1176,3008,Baratka,CR16003,Alburnoides bipunctatus,145,20,125,river
3795,1589,Barzava 2 T,TB18004,Alburnoides bipunctatus,44,16,28,river
3934,2864,Barzava also T,TB19006,Alburnoides bipunctatus,27,25,2,river
3744,1646,Bega 3 T,TB18001,Alburnoides bipunctatus,81,32,49,river
3776,1630,Bega 4 T,TB18003,Alburnoides bipunctatus,89,16,73,river
3982,4138,Bega ingola T,TB21004,Alburnoides bipunctatus,91,8,83,river
2702,3789,Bela Reca Mehadia T,NC21003,Alburnoides bipunctatus,305,101,204,river
220,1883,Belenyes alatt T,CR18006,Alburnoides bipunctatus,175,59,116,river
244,1893,Belenyes felett T,CR18008,Alburnoides bipunctatus,181,60,121,river
4193,1867,Belenyes telepules T,CR18007,Alburnoides bipunctatus,102,35,67,river
134,397,Berettyo Margine,CR17012,Alburnoides bipunctatus,4,3,1,river
149,387,Berettyo Markai szoros,CR17014,Alburnoides bipunctatus,125,41,84,river
197,2571,Berettyo Paptamasi T,CR18003,Alburnoides bipunctatus,39,10,29,river
137,406,Berettyo Poklos,CR17013,Alburnoides bipunctatus,54,25,29,river
422,4070,Berettyo Tuszatelke T,CR21007,Alburnoides bipunctatus,6,2,4,river
414,4062,Berettyo Valkovaralja T,CR21006,Alburnoides bipunctatus,19,4,15,river
3436,891,Beszterce Sofalva T,SO18008,Alburnoides bipunctatus,91,10,81,river
3257,4198,Beszterce4T,SO15003,Alburnoides bipunctatus,1,NA,1,river
363,3912,Bistra am Chiribis T,CR21001,Alburnoides bipunctatus,94,47,47,river
3736,3209,Bistra Bautar,TB17001,Alburnoides bipunctatus,14,0,14,river
824,1393,BISZTRA ALSO T,MU14084,Alburnoides bipunctatus,3,0,3,river
3245,4193,Budac4T,SO15001,Alburnoides bipunctatus,1,NA,1,river
3812,1613,Caras 1 T,TB18005,Alburnoides bipunctatus,21,3,18,river
3898,2857,Caras 2T,TB19004,Alburnoides bipunctatus,249,74,175,river
2682,3794,Cerna Prisicina T,NC21001,Alburnoides bipunctatus,12,0,12,river
2694,3798,Cerna Toplet T,NC21002,Alburnoides bipunctatus,9,1,8,river
3030,4387,Cornatel T,OL21011,Alburnoides bipunctatus,1,0,1,river
3051,4302,Covasna T,OL21015,Alburnoides bipunctatus,9,4,5,river
435,4145,Crisul Pietros Pietroasa3T,CR21009,Alburnoides bipunctatus,2,NA,2,river
439,4152,Crisul Pietros Poienii de JosT,CR21010,Alburnoides bipunctatus,184,66,118,river
2863,2955,Csibin legalso T,OL18007,Alburnoides bipunctatus,5,1,4,river
2445,2394,Dello alatt cs T (MAR16MAV),MU19045,Alburnoides bipunctatus,25,20,5,river
2209,2380,Dello kovezett part T (MAR15KES),MU19027,Alburnoides bipunctatus,25,25,0,river
1819,1008,Dicso alatt T,MU18063,Alburnoides bipunctatus,38,14,24,river
1835,2035,Dicso felett T,MU18064,Alburnoides bipunctatus,84,25,59,river
1805,997,Dicso varos T,MU18062,Alburnoides bipunctatus,74,37,37,river
1658,3086,Egyesult Kukullo 1 T,MU18047,Alburnoides bipunctatus,26,13,13,river
4141,329,Feher-Koros Barza,CR17005,Alburnoides bipunctatus,87,61,26,river
408,3893,Feher-Koros Cintei T,CR21005,Alburnoides bipunctatus,44,1,43,river
4275,2838,Feher-Koros Kisjeno T,CR19003,Alburnoides bipunctatus,153,34,119,river
4127,3165,Fekete-Koros Belenyessonkoly,CR17004,Alburnoides bipunctatus,121,71,50,river
38,3148,Fekete-Koros legalso,CR17003,Alburnoides bipunctatus,27,NA,NA,river
380,3876,Fekete-Koros masodik T,CR21004,Alburnoides bipunctatus,278,161,117,river
4114,3104,Fekete-Koros Rapa csonakbol legfelso,CR17001,Alburnoides bipunctatus,14,NA,NA,river
8,3125,Fekete-Koros Tenke (Zingel z),CR17002,Alburnoides bipunctatus,23,NA,NA,river
2790,2985,Feketeugy also T,OL18003,Alburnoides bipunctatus,113,58,55,river
2780,2970,Feketeugy felso Cofalva T,OL18002,Alburnoides bipunctatus,84,18,66,river
93,314,F-Koros Borosjeno alatt,CR17006,Alburnoides bipunctatus,146,87,59,river
3590,4027,Fuzes also T,SO21007,Alburnoides bipunctatus,5,1,4,river
864,1409,GALONYA ALSO T,MU14096,Alburnoides bipunctatus,8,0,8,river
2528,2134,Gorgeny T,MU19052,Alburnoides bipunctatus,132,59,73,river
374,3900,Gyepes T,CR21002,Alburnoides bipunctatus,54,7,47,river
16,3688,H07 allamvizsga,CR07001,Alburnoides bipunctatus,85,NA,NA,river
2875,2934,Hortobagy also T,OL18008,Alburnoides bipunctatus,22,10,12,river
2883,2947,Hortobagy felso T,OL18009,Alburnoides bipunctatus,25,3,22,river
2100,2108,Idecs T,MU19016,Alburnoides bipunctatus,6,0,6,river
766,1439,ILVA1,MU14065,Alburnoides bipunctatus,15,0,15,river
4228,937,Iza also T,TI18006,Alburnoides bipunctatus,156,65,91,river
4053,925,Iza felso T,TI18002,Alburnoides bipunctatus,231,45,186,river
1639,3072,Kis-Kukullo 1T,MU18046,Alburnoides bipunctatus,12,3,9,river
559,1059,Kis-Nyarad1,MU14011,Alburnoides bipunctatus,4,0,4,river
575,1052,Kis-Nyarad2,MU14014,Alburnoides bipunctatus,15,0,15,river
3680,4105,Kis-Szamos Bonchida T,SO21023,Alburnoides bipunctatus,137,92,45,river
3209,3514,Kis-Szamos Des,SO14003,Alburnoides bipunctatus,25,5,20,river
3244,3475,Kis-Szamos felso,SO14006,Alburnoides bipunctatus,4,3,1,river
3227,3485,Kis-Szamos ismetles1,SO14005,Alburnoides bipunctatus,20,15,5,river
3211,3502,Kis-Szamos Szilagyto2,SO14004,Alburnoides bipunctatus,15,10,5,river
3439,1904,Kolozsvar alatt T,SO18009,Alburnoides bipunctatus,4,0,4,river
3459,1918,Kolozsvar varos T,SO18011,Alburnoides bipunctatus,156,76,80,river
564,1102,Korispatak1,MU14012,Alburnoides bipunctatus,3,0,3,river
542,1030,korispatak2,MU14009,Alburnoides bipunctatus,1,0,1,river
3389,2519,Kraszna Bobota,SO18004,Alburnoides bipunctatus,17,0,17,river
3411,2529,Kraszna Kiralydaroc T,SO18006,Alburnoides bipunctatus,8,3,5,river
4299,2506,Kraszna Perecsen T,SO18005,Alburnoides bipunctatus,6,1,5,river
1677,3094,Kudzsir T,MU18050,Alburnoides bipunctatus,11,0,11,river
980,1136,Kukullo also,MU14112,Alburnoides bipunctatus,190,60,130,river
958,1189,Kukullo Balavasar,MU14110,Alburnoides bipunctatus,65,10,55,river
987,1179,Kukullo balavasari gat alatt,MU14113,Alburnoides bipunctatus,38,8,30,river
916,1247,Kukullo Gyulakuta,MU14105,Alburnoides bipunctatus,55,5,50,river
935,1233,Kukullo Harmasfalu alatt,MU14108,Alburnoides bipunctatus,310,20,290,river
929,1223,Kukullo Makfalva folott,MU14107,Alburnoides bipunctatus,160,20,140,river
1003,1147,Kukullo Mikafalva,MU14114,Alburnoides bipunctatus,20,5,15,river
924,1217,Kukullo Sovarad alatt,MU14106,Alburnoides bipunctatus,180,10,170,river
1022,1206,Kukullo Szovata folott,MU14117,Alburnoides bipunctatus,50,10,40,river
960,1169,Kukulloszeplak,MU14111,Alburnoides bipunctatus,95,10,85,river
3648,4014,Lapos legalso T,SO21017,Alburnoides bipunctatus,22,22,0,river
3718,3926,Lapos Szakallasfalva T,SO21025,Alburnoides bipunctatus,91,17,74,river
3702,3952,Lapos3 Erdoszallas T,SO21024,Alburnoides bipunctatus,146,40,106,river
2403,2417,Lekence csonak T (MAR19RAD),MU19041,Alburnoides bipunctatus,40,33,7,river
3077,4277,Lemnia T,OL21017,Alburnoides bipunctatus,45,15,30,river
2973,4354,LL58-01 T,OL21005,Alburnoides bipunctatus,17,1,16,river
2987,4344,LL58-04 T,OL21006,Alburnoides bipunctatus,4,2,2,oxbow
1617,643,MA 22 Enyed p T,MU18043,Alburnoides bipunctatus,22,14,8,river
1380,447,Ma05T,MU18020,Alburnoides bipunctatus,147,115,32,river
1506,526,MA06T,MU18033,Alburnoides bipunctatus,86,22,64,river
1487,587,MA08T,MU18032,Alburnoides bipunctatus,55,14,41,river
1590,573,MA09T,MU18041,Alburnoides bipunctatus,16,12,4,river
1562,606,MA11T,MU18037,Alburnoides bipunctatus,42,5,37,river
1707,493,MA13T,MU18053,Alburnoides bipunctatus,66,11,55,river
1587,618,MA14T,MU18040,Alburnoides bipunctatus,50,22,28,river
1571,628,MA15T,MU18039,Alburnoides bipunctatus,31,3,28,river
1678,466,MA17T,MU18051,Alburnoides bipunctatus,49,10,39,river
1721,480,MA18T,MU18054,Alburnoides bipunctatus,26,15,11,river
1623,503,MA19T,MU18044,Alburnoides bipunctatus,19,8,11,river
1631,512,MA21T,MU18045,Alburnoides bipunctatus,28,13,15,river
1607,634,MA23T,MU18042,Alburnoides bipunctatus,9,9,0,river
2180,2349,"MAR12KES C (A,B,C,D)",MU19024,Alburnoides bipunctatus,6,6,0,river
4103,915,Mara T,TI18005,Alburnoides bipunctatus,199,87,112,river
858,1468,Maros,MU14095,Alburnoides bipunctatus,1200,900,300,river
1663,3062,Maros 14 T,MU18048,Alburnoides bipunctatus,36,26,10,river
2015,3054,Maros 16T,MU18079,Alburnoides bipunctatus,71,35,36,river
2171,2237,Maros Alsoidecs T (MAR05MAF),MU19023,Alburnoides bipunctatus,31,23,8,river
1087,219,Maros Arad alatt T,MU16001,Alburnoides bipunctatus,43,33,10,river
1127,263,Maros Arad felett,MU17003,Alburnoides bipunctatus,95,64,31,river
1125,248,Maros Arad varos,MU17002,Alburnoides bipunctatus,18,15,3,river
2507,2765,Maros Batta (alatt) T,MU19049,Alburnoides bipunctatus,23,17,6,river
706,1476,Maros Ciobotani,MU14047,Alburnoides bipunctatus,900,200,700,river
2541,2146,Maros Deda 2019,MU19053,Alburnoides bipunctatus,62,17,45,river
841,1486,Maros Deda folott,MU14093,Alburnoides bipunctatus,180,10,170,river
2199,2370,Maros Dello felett cs T (MAR14KES),MU19026,Alburnoides bipunctatus,2,2,0,river
2490,2738,Maros Gurasada alatt T,MU19048,Alburnoides bipunctatus,25,19,6,river
2419,2202,Maros Holtmaros T (MAR03HOM),MU19043,Alburnoides bipunctatus,23,8,15,river
2249,2327,Maros komp alatt (MAR11NYT),MU19029,Alburnoides bipunctatus,20,16,4,river
2297,2270,Maros Kortvelyfaja 2 T (MAR07GER),MU19034,Alburnoides bipunctatus,59,50,9,river
2075,2118,Maros Kortvelyfaja T,MU19013,Alburnoides bipunctatus,7,4,3,river
2269,2445,Maros kovezett cs T (MAR21KUT),MU19031,Alburnoides bipunctatus,2,2,0,river
2259,2453,Maros Kutyfalva felett cs T (MAR22KUT),MU19030,Alburnoides bipunctatus,25,25,0,river
2275,2461,Maros Kutyfalva kece T (MAR23KUT_K),MU19032,Alburnoides bipunctatus,1,1,0,river
2458,2781,Maros legalso Sejteny T,MU19046,Alburnoides bipunctatus,71,14,57,river
1194,274,Maros Lippa alatt,MU17005,Alburnoides bipunctatus,134,109,25,river
1168,298,Maros Lippa felett T,MU17004,Alburnoides bipunctatus,78,64,14,river
1205,285,Maros Lippaban,MU17006,Alburnoides bipunctatus,41,27,14,river
2221,2181,Maros Magyaro T (MAR02MAL),MU19028,Alburnoides bipunctatus,113,37,76,river
2318,2217,Maros Marosvecs T (MAR04MAV),MU19035,Alburnoides bipunctatus,27,8,19,river
2333,2166,Maros Moroszfalu T (MAR01MAL),MU19036,Alburnoides bipunctatus,38,36,2,river
677,1492,Maros Neagra,MU14040,Alburnoides bipunctatus,1100,500,600,river
2389,2299,Maros Nyarad beomlesenel TM (MAR09NYT),MU19040,Alburnoides bipunctatus,109,94,15,river
2138,2405,Maros Oarba felett cs T (MAR17MAV),MU19021,Alburnoides bipunctatus,16,12,4,river
1100,232,Maros Pecska T,MU17001,Alburnoides bipunctatus,119,95,24,river
2290,2258,Maros Petele T (MAR06PET),MU19033,Alburnoides bipunctatus,34,9,25,river
2466,2752,Maros Piski felett T,MU19047,Alburnoides bipunctatus,17,11,6,river
2408,2411,Maros Radnot kece (MAR18RAD_K),MU19042,Alburnoides bipunctatus,4,1,3,river
2367,2430,Maros radnoti eromu alatt cs T (MAR20KUT),MU19039,Alburnoides bipunctatus,33,32,1,river
889,1503,Maros Ratosnya alatt,MU14100,Alburnoides bipunctatus,1200,200,1000,river
751,1510,Maros Szalard,MU14062,Alburnoides bipunctatus,650,70,580,river
484,4216,Maros Szenete 2009,MU09001,Alburnoides bipunctatus,15,NA,NA,river
2363,2287,Maros Szentivany T (MAR08MEP),MU19038,Alburnoides bipunctatus,32,29,3,river
2189,2358,Maros Szentmargita cs T,MU19025,Alburnoides bipunctatus,19,7,12,river
2425,2338,Maros Vidratszeg kece T (MAR11NYT_K),MU19044,Alburnoides bipunctatus,8,8,0,river
1737,2064,Medgyes alatt T,MU18056,Alburnoides bipunctatus,38,12,26,river
1742,2046,Medgyes felett T,MU18057,Alburnoides bipunctatus,84,38,46,river
1730,2055,Medgyes varos T,MU18055,Alburnoides bipunctatus,68,22,46,river
3362,3199,Nadas szamosba omles felett,SO18002,Alburnoides bipunctatus,29,11,18,river
2800,1726,Nagy Homorod T,OL18004,Alburnoides bipunctatus,7,2,5,river
1761,2996,Nagy Kukullo 2 T,MU18058,Alburnoides bipunctatus,80,31,49,river
1299,182,Nagy Kukullo Galambf1T,MU17015,Alburnoides bipunctatus,49,5,44,river
1301,199,Nagy Kukullo Galambf3T,MU17016,Alburnoides bipunctatus,167,19,148,river
1287,209,Nagy Kukullo Galambf4T,MU17014,Alburnoides bipunctatus,194,38,156,river
3280,155,Nagy Sz Naszod also T,SO17002,Alburnoides bipunctatus,205,150,55,river
3294,133,Nagy Sz Naszod felett T,SO17003,Alburnoides bipunctatus,195,100,95,river
3273,143,Nagy Sz Naszod T,SO17001,Alburnoides bipunctatus,180,110,70,river
3298,161,Nagy Szamos Foldra T,SO17004,Alburnoides bipunctatus,125,60,65,river
163,52,Nagyfalu alatt,CR17016,Alburnoides bipunctatus,135,69,66,river
171,31,Nagyfalu felett,CR17017,Alburnoides bipunctatus,120,53,67,river
155,40,Nagyfalu telepules,CR17015,Alburnoides bipunctatus,71,50,21,river
1268,3258,Nagy-Kukullo gat alatt a masodik,MU17011,Alburnoides bipunctatus,1,1,0,river
1247,3251,Nagy-Kukullo Ivo beomlesenel,MU17009,Alburnoides bipunctatus,8,0,8,river
1319,3269,Nagy-Kukullo kozepso,MU17018,Alburnoides bipunctatus,4,0,4,river
3486,2591,Nagy-Szamos Arpasto T,SO19004,Alburnoides bipunctatus,94,70,24,river
2655,2679,Nera legfelso T (Minis T),NC19004,Alburnoides bipunctatus,119,38,81,river
2627,2707,Nera szoros alatt T,NC19002,Alburnoides bipunctatus,280,87,193,river
2671,2693,Nera szoros felett T,NC19005,Alburnoides bipunctatus,311,108,203,river
2644,2719,Nera1 also T,NC19003,Alburnoides bipunctatus,62,17,45,river
2608,951,Nera4T,NC18001,Alburnoides bipunctatus,252,86,166,river
2597,4506,NK 3 T,MU21011,Alburnoides bipunctatus,7,0,7,river
1967,695,NK10T,MU18074,Alburnoides bipunctatus,169,1,168,river
1441,785,NK14T,MU18027,Alburnoides bipunctatus,9,0,9,river
1410,769,NK15T,MU18024,Alburnoides bipunctatus,40,11,29,river
1979,683,NK16T,MU18075,Alburnoides bipunctatus,45,9,36,river
1390,760,NK18T,MU18022,Alburnoides bipunctatus,12,1,11,river
1473,750,NK19T,MU18030,Alburnoides bipunctatus,5,2,3,river
1342,809,NK1T,MU18011,Alburnoides bipunctatus,49,23,26,river
1449,741,NK21T,MU18028,Alburnoides bipunctatus,29,8,21,river
1998,661,NK22T,MU18076,Alburnoides bipunctatus,76,15,61,river
1475,718,NK25T,MU18031,Alburnoides bipunctatus,36,6,30,river
1388,802,NK3T,MU18021,Alburnoides bipunctatus,71,26,45,river
2011,673,NK4T,MU18078,Alburnoides bipunctatus,33,2,31,river
2005,652,Nk5T,MU18077,Alburnoides bipunctatus,57,5,52,river
1957,823,NK6T,MU18073,Alburnoides bipunctatus,109,13,96,river
1402,793,NK7T,MU18023,Alburnoides bipunctatus,52,17,35,river
1244,126,N-Kukullo Udvarhely alatt,MU17008,Alburnoides bipunctatus,102,14,88,river
1269,108,N-Kukullo Udvarhely felett2,MU17012,Alburnoides bipunctatus,147,127,20,river
536,1080,Ny1,MU14007,Alburnoides bipunctatus,350,10,340,river
523,1088,Ny2,MU14005,Alburnoides bipunctatus,230,30,200,river
856,1096,Ny3,MU14001,Alburnoides bipunctatus,55,10,45,river
1037,1262,Nyarad beomles folott,MU14118,Alburnoides bipunctatus,78,18,60,river
2341,2312,Nyarad Marosba omlesnel T (NYA10NYT),MU19037,Alburnoides bipunctatus,75,75,0,river
1419,710,Nyiko T,MU18025,Alburnoides bipunctatus,34,25,9,river
2838,1705,Olt 1 legalso T,OL18006,Alburnoides bipunctatus,1,0,1,river
2831,1691,Olt 6 nem vedett T,OL18005,Alburnoides bipunctatus,37,36,1,river
2761,1676,Olt 7 Zoltan,OL18001,Alburnoides bipunctatus,57,18,39,river
2725,3459,Olt10,OL12003,Alburnoides bipunctatus,20,0,20,river
2916,3589,Olt4Ticusu T,OL20002,Alburnoides bipunctatus,32,6,26,river
2906,3571,Olt5,OL20001,Alburnoides bipunctatus,17,15,2,river
2704,3453,Olt5 2012,OL12001,Alburnoides bipunctatus,11,4,7,river
4291,3444,Olt8,OL12002,Alburnoides bipunctatus,11,3,8,river
4003,3693,Punctul nr. 1 (Vaser legalso),TI11002,Alburnoides bipunctatus,5,NA,NA,river
3999,3698,Punctul nr. 2 (Vaser-Novat beomles),TI11001,Alburnoides bipunctatus,4,NA,NA,river
810,1534,RATOSNYA GAT ALATT T,MU14082,Alburnoides bipunctatus,87,0,87,river
774,1543,RATOSNYA1,MU14066,Alburnoides bipunctatus,35,10,25,river
1873,1970,Regen alatt T,MU18067,Alburnoides bipunctatus,64,60,4,river
1895,1932,Regen felett T,MU18068,Alburnoides bipunctatus,50,9,41,river
1911,1951,Regen varos T,MU18069,Alburnoides bipunctatus,129,24,105,river
4459,3984,Ruscova also T,TI21011,Alburnoides bipunctatus,121,0,121,river
4432,3970,Ruscova felso T,TI21007,Alburnoides bipunctatus,11,0,11,river
3422,902,Sajó Arokalja T,SO18007,Alburnoides bipunctatus,117,33,84,river
3172,4230,Sajo Sajoudvarhely mellett 2010,SO10001,Alburnoides bipunctatus,22,NA,NA,river
1433,728,Scroafei 23 T,MU18026,Alburnoides bipunctatus,15,6,9,river
4177,2559,Sebes Koros Varad alatt T,CR18002,Alburnoides bipunctatus,26,3,23,river
2087,2100,Sebes T,MU19014,Alburnoides bipunctatus,6,1,5,river
265,2912,Sebes-Koros Feketeto T,CR18010,Alburnoides bipunctatus,272,69,203,river
306,3186,Sebes-Koros ingola sikertelen,CR19004,Alburnoides bipunctatus,53,45,8,river
4196,2922,Sebes-Koros Kiskakucs T,CR18009,Alburnoides bipunctatus,125,36,89,river
4206,2901,Sebes-Koros Szabolcs T,CR18011,Alburnoides bipunctatus,3,0,3,river
1775,986,Segesvar alatt T,MU18059,Alburnoides bipunctatus,82,39,43,river
1787,973,Segesvar felso T,MU18060,Alburnoides bipunctatus,66,24,42,river
1797,962,Segesvar varos T,MU18061,Alburnoides bipunctatus,26,13,13,river
3008,4327,Sercaia AN CF OLT T,OL21008,Alburnoides bipunctatus,1,0,1,river
427,4129,Sighisel3T,CR21008,Alburnoides bipunctatus,33,28,5,river
3545,2640,Szamos Ardo alatt T,SO19008,Alburnoides bipunctatus,45,35,10,river
3530,2653,Szamos Cikoi-szoros T,SO19007,Alburnoides bipunctatus,104,50,54,river
3500,2610,Szamos Des alatt T,SO19005,Alburnoides bipunctatus,39,14,25,river
3507,2623,Szamos Ilonda alatt T,SO19006,Alburnoides bipunctatus,41,24,17,river
3546,2665,Szamos Rosiori T,SO19009,Alburnoides bipunctatus,42,30,12,river
3308,83,Szamos Szatmar felett,SO17005,Alburnoides bipunctatus,73,32,41,river
3722,3938,Szamos Tomany T,SO21026,Alburnoides bipunctatus,33,33,0,river
4422,3964,Szaplonca T,TI21005,Alburnoides bipunctatus,1,0,1,river
3348,63,Szatmar alatt,SO17007,Alburnoides bipunctatus,1,0,1,river
3338,95,Szatmar varos,SO17006,Alburnoides bipunctatus,116,71,45,river
2740,18,Szeben felett,OL17003,Alburnoides bipunctatus,125,111,14,river
2735,24,Szeben varos,OL17001,Alburnoides bipunctatus,18,14,4,river
2932,1068,Szolokma2,MU14006,Alburnoides bipunctatus,1,0,1,river
3057,4290,Szorcse T,OL21016,Alburnoides bipunctatus,65,15,50,river
1069,3610,Sztrigy,MU15002,Alburnoides bipunctatus,73,69,4,river
1947,1597,Sztrigy 2 T,MU18071,Alburnoides bipunctatus,53,5,48,river
10,3628,T12 2019T,TI19007,Alburnoides bipunctatus,22,17,5,river
4341,3332,T17 2019T,TI19001,Alburnoides bipunctatus,25,3,22,river
4348,3350,T20 2019 T,TI19002,Alburnoides bipunctatus,40,20,20,river
4384,3315,T4 2019 T,TI19005,Alburnoides bipunctatus,2,2,0,river
4016,4250,T5 2011,TI11004,Alburnoides bipunctatus,100,20,80,river
4309,4265,Talna Felso,TI12001,Alburnoides bipunctatus,120,90,30,river
1219,3019,Tarkany Marnas terep,CR16002,Alburnoides bipunctatus,110,25,85,river
3878,2801,"Temes 1 legalso T, 186",TB19003,Alburnoides bipunctatus,47,10,37,river
3822,1764,Temes 2 T,TB18006,Alburnoides bipunctatus,44,18,26,river
3855,1744,Temes 4 T,TB18007,Alburnoides bipunctatus,232,54,178,river
3772,1663,Temes 5 T,TB18002,Alburnoides bipunctatus,136,51,85,river
3965,3820,Temes Cebza T,TB21002,Alburnoides bipunctatus,5,0,5,river
3945,2824,Temes legfelso T,TB19007,Alburnoides bipunctatus,42,42,0,river
3866,3361,Timis aval balastiera,TB19001,Alburnoides bipunctatus,34,24,10,river
4041,836,Tisza felso T,TI18001,Alburnoides bipunctatus,216,99,117,river
4255,882,Tisza kozepso T,TI18007,Alburnoides bipunctatus,79,71,8,river
4097,868,Tisza legalso T,TI18004,Alburnoides bipunctatus,29,9,20,river
106,377,Toz Garba-Csermo,CR17007,Alburnoides bipunctatus,11,7,4,river
116,370,Toz legfelso,CR17009,Alburnoides bipunctatus,1,1,0,river
3442,3560,Tur Harmashatar T,TI20001,Alburnoides bipunctatus,8,0,8,river
4363,3278,Tur legfelso 2019 T,TI19003,Alburnoides bipunctatus,5,0,5,river
1229,118,Udvarhely varos,MU17007,Alburnoides bipunctatus,120,75,45,river
1218,3032,Varfurile marnas terep,CR16001,Alburnoides bipunctatus,80,10,70,river
1938,1985,Vasarhely alatt 2 T,MU18070,Alburnoides bipunctatus,126,31,95,river
1836,2019,Vasarhely felett T,MU18065,Alburnoides bipunctatus,39,16,23,river
1857,1999,Vasarhely varos T,MU18066,Alburnoides bipunctatus,26,19,7,river
899,1250,Vecke patak,MU14103,Alburnoides bipunctatus,45,0,45,river
620,1038,Vecke1,MU14019,Alburnoides bipunctatus,15,2,13,river
625,1047,Vecke2,MU14020,Alburnoides bipunctatus,150,0,150,river
4467,4007,Viso Moisei T,TI21012,Alburnoides bipunctatus,1,0,1,river
4069,852,Viso T,TI18003,Alburnoides bipunctatus,132,53,79,river
4300,3217,VR1T Nehezf,TI18009,Alburnoides bipunctatus,9,8,1,river
691,1565,ZEBRAC 1,MU14044,Alburnoides bipunctatus,30,0,30,river
479,3733,Zsil am captare T,JI20008,Alburnoides bipunctatus,144,40,104,river
465,3725,Zsil podul lui Fabian T,JI20006,Alburnoides bipunctatus,12,6,6,river
4379,3294,1 Bef 4T 2019,TI19004,Alburnus alburnus,3,0,3,river
4296,3233,1Bef10T nehezf,TI18008,Alburnus alburnus,5,0,5,river
601,1283,Also Nyarad3,MU14017,Alburnus alburnus,10,2,8,river
606,1114,Also Nyarad4,MU14018,Alburnus alburnus,110,20,90,river
1694,455,Aranyos2T,MU18052,Alburnus alburnus,1,0,1,river
1534,555,Aries monit am balastiera,MU18035,Alburnus alburnus,1,0,1,river
1547,541,Aries Monit av balastiera,MU18036,Alburnus alburnus,18,4,14,river
4268,3430,Arok 2T,CR19002,Alburnus alburnus,2,2,0,river
1162,3385,Arok Kereki,CR13004,Alburnus alburnus,10,10,0,canal
3796,1593,Barzava 2 T,TB18004,Alburnus alburnus,2,2,0,river
3929,2865,Barzava also T,TB19006,Alburnus alburnus,1,1,0,river
3738,1647,Bega 3 T,TB18001,Alburnus alburnus,64,9,55,river
3783,1629,Bega 4 T,TB18003,Alburnus alburnus,3,0,3,river
3873,2814,Bega legalso belly T,TB19002,Alburnus alburnus,1,1,0,river
3912,2879,Bega Temesvar felett,TB19005,Alburnus alburnus,41,41,0,river
221,1888,Belenyes alatt T,CR18006,Alburnus alburnus,6,2,4,river
251,1895,Belenyes felett T,CR18008,Alburnus alburnus,1,0,1,river
237,1868,Belenyes telepules T,CR18007,Alburnus alburnus,35,14,21,river
199,2570,Berettyo Paptamasi T,CR18003,Alburnus alburnus,27,4,23,river
142,401,Berettyo Poklos,CR17013,Alburnus alburnus,1,0,1,river
3437,892,Beszterce Sofalva T,SO18008,Alburnus alburnus,8,0,8,river
1568,594,Brat MO Leucaspius,MU18038,Alburnus alburnus,9,3,6,lake
3818,1614,Caras 1 T,TB18005,Alburnus alburnus,4,0,4,river
2857,2956,Csibin legalso T,OL18007,Alburnus alburnus,13,0,13,river
2446,2395,Dello alatt cs T (MAR16MAV),MU19045,Alburnus alburnus,2,1,1,river
